"Curso","Disciplina","Natureza","Tipo de Bibliografia","Correspondência","Livro no PPC","Livro no campus","Autor","Edição","Volume","Exemplares","Título comparado"
"Física Computacional","Introdução à Prática Profissional","Obrigatória","Básica","Não","Bibliografia definida pelos palestrantes","","","","","0","Bibliografia definida pelos palestrantes"
"Física Computacional","Interações Culturais, Ambientais e Humanísticas","Obrigatória","Básica","Não","CHAUI, Marilena de Souza. Cidadania cultural: o direito à cultura. São Paulo: Fundação Perseu Abramo, 2015.","","","","","0","CHAUI, Marilena de Souza"
"Física Computacional","Interações Culturais, Ambientais e Humanísticas","Obrigatória","Básica","Não","CANDAU, Vera Maria; ANDRADE, Marcelo; SACAVINO, Susana et ali. Educação em direitos humanos e formação de professores/as; São Paulo: Cortez, 2013.","","","","","0","Educação em direitos humanos e formação de professores/as; São Paulo: Cortez, 2013"
"Física Computacional","Interações Culturais, Ambientais e Humanísticas","Obrigatória","Básica","Não","JACOBI, P. et al. (orgs.). Educação, meio ambiente e cidadania: reflexões e experiências. São Paulo: SMA, 1998.","","","","","0","JACOBI, P. et al. (orgs.). Educação, meio ambiente e cidadania: reflexões e experiências. São Paulo: SMA, 1998."
"Física Computacional","Práticas de Empreendedorismo","Obrigatória","Básica","Não","BESSANT, J.; TIDD, J.. Inovação e Empreendedorismo. Porto Alegre: Bookman, 2019","","","","","0","Inovação e Empreendedorismo"
"Física Computacional","Práticas de Empreendedorismo","Obrigatória","Básica","Não","BIAZZOTTO, C. E. N. Plano de negócios para empreendimentos inovadores. São Paulo: Atlas, 2008.","","","","","0","Plano de negócios para empreendimentos inovadores"
"Física Computacional","Práticas de Empreendedorismo","Obrigatória","Básica","Não","DORNELAS, J., BIM, A., FREITAS, G.; USHIKUBO, R. Plano de negócios com modelo CANVAS: guia prático de avaliação de ideias de negócios a partir de exemplos. Rio de Janeiro: LTC, 2015.","","","","","0","Plano de negócios com modelo CANVAS: guia prático de avaliação de ideias de negócios a partir de exemplos"
"Física Computacional","Inferência Bayesiana","Obrigatória","Básica","Não","COLES, S. Introdução à Inferência Bayesiana. (tradução e adaptação de Ribeiro Jr, P.J.), Notas de aula. Acesso em 25/05/2024 http://www.leg.ufpr.br/~paulojus/CE227/InferenciaBayesiana.pdf","","","","","0","Introdução à Inferência Bayesiana"
"Física Computacional","Inferência Bayesiana","Obrigatória","Básica","Não","KINAS, P.G; ANDRADE, H.A. Introdução à análise bayesiana (com R). Canoas: Consultor Editorial, 2020.","","","","","0","Introdução à análise bayesiana (com R)"
"Física Computacional","Inferência Bayesiana","Obrigatória","Básica","Não","PAULINO, C. D.; AMARAL, M. A.; MURTEIRA, B. Estatistica Bayesiana. Lisboa: Fundação Calouste Gulbenkian, 2003.","","","","","0","Estatistica Bayesiana"
"Física Computacional","Física IV","Obrigatória","Básica","Não","HALLIDAY, D.; RESNICK, R.; WALKER, J. Fundamentos de Física – Óptica e Física Moderna. v.4. 10. ed. LTC, 2016.","","","","","0","Fundamentos de Física – Óptica e Física Moderna"
"Física Computacional","Física IV","Obrigatória","Básica","Não","SERWAY, R. A.; JEWETT JR, J. W. Física para Cientistas e Engenheiros – Luz, óptica e física moderna. v. 4. 2. ed. Cengage, 2019.","","","","","0","Física para Cientistas e Engenheiros – Luz, óptica e física moderna"
"Física Computacional","Física IV","Obrigatória","Básica","Não","YOUNG, H. D.; FREEDMAN, R. A. Física IV: Óptica e Física Moderna. 14. ed. Editora Person, 2016.","","","","","0","Física IV: Óptica e Física Moderna"
"Física Computacional","Física Experimental IV","Obrigatória","Básica","Não","HALLIDAY, D.; RESNICK, R.; WALKER, J. Fundamentos de Física – Óptica e Física Moderna. v.4. 10. ed. LTC, 2016.","","","","","0","Fundamentos de Física – Óptica e Física Moderna"
"Física Computacional","Física Experimental IV","Obrigatória","Básica","Não","SERWAY, R. A.; JEWETT JR, J. W. Física para Cientistas e Engenheiros – Luz, óptica e física moderna. v. 4. 2. ed. Cengage, 2019.","","","","","0","Física para Cientistas e Engenheiros – Luz, óptica e física moderna"
"Física Computacional","Física Experimental IV","Obrigatória","Básica","Não","YOUNG, H. D.; FREEDMAN, R. A. Física IV: Óptica e Física Moderna. 14. ed. Editora Person, 2016.","","","","","0","Física IV: Óptica e Física Moderna"
"Física Computacional","Dinâmica Molecular e Aprendizado de Máquina em Física de","Obrigatória","Básica","Não","ALLEN, Michael P.; TILDESLEY, Dominic J. Computer Simulation of Liquids. 2. ed. Oxford University Press, 2017.","","","","","0","Computer Simulation of Liquids"
"Física Computacional","Dinâmica Molecular e Aprendizado de Máquina em Física de","Obrigatória","Básica","Não","FRENKEL, Daan; SMIT, Berend. Understanding Molecular Simulation: From Algorithms to Applications. 3. ed. Academic Press, 2023.","","","","","0","Understanding Molecular Simulation: From Algorithms to Applications"
"Física Computacional","Dinâmica Molecular e Aprendizado de Máquina em Física de","Obrigatória","Básica","Não","RINO, José, P.; COSTA, Bismarck, V. ABC da Simulação Computacional. 1 ed. Editora Livraria da Física, 2013.","","","","","0","ABC da Simulação Computacional"
"Física Computacional","Engenharia de Dados","Obrigatória","Básica","Não","BORDIN, M. V. et al. Processamento Paralelo e Distribuído. Porto Alegre : SAGAH, 2021.","","","","","0","BORDIN, M. V. et al. Processamento Paralelo e Distribuído. Porto Alegre : SAGAH, 2021."
"Física Computacional","Engenharia de Dados","Obrigatória","Básica","Não","PEREIRA, Mariana, A. et al. Framework de Big Data. Porto Alegre : SAGAH, 2019.","","","","","0","PEREIRA, Mariana, A. et al. Framework de Big Data. Porto Alegre : SAGAH, 2019."
"Física Computacional","Engenharia de Dados","Obrigatória","Básica","Não","SILVA, L. F. C. et al. Banco de Dados Não Relacional. Porto Alegre: SAGAH, 2021.","","","","","0","SILVA, L. F. C. et al. Banco de Dados Não Relacional. Porto Alegre: SAGAH, 2021."
"Física Computacional","Biofísica Molecular Computacional","Obrigatória","Básica","Não","ALBERTS, B. et al. Biologia Molecular da Célula. 6a edição. Porto Alegre: Artmed, 2017.","","","","","0","ALBERTS, B. et al. Biologia Molecular da Célula. 6a edição. Porto Alegre: Artmed, 2017."
"Física Computacional","Biofísica Molecular Computacional","Obrigatória","Básica","Não","MARIANO, D. et al. Introdução à Programação para Bioinformática com Biopython. 3ª ed. Belo Horizonte: Clube de Autores, 2016.","","","","","0","MARIANO, D. et al. Introdução à Programação para Bioinformática com Biopython. 3ª ed. Belo Horizonte: Clube de Autores, 2016."
"Física Computacional","Biofísica Molecular Computacional","Obrigatória","Básica","Não","OLIVEIRA, A. M. Introdução à Modelagem Molecular para Química, Engenharia e Biomédicas: Fundamentos e Exercícios. Curitiba: Appris, 2018.","","","","","0","Introdução à Modelagem Molecular para Química, Engenharia e Biomédicas: Fundamentos e Exercícios"
"Física Computacional","Biofísica Molecular Computacional","Obrigatória","Básica","Não","VERLI, H. (Org.). Bioinformática: da Biologia à Flexibilidade Molecular. 1ª edição. SBBq, 2014. Disponível em: http://hdl.handle.net/10183/166105.","","","","","0","(Org.)"
"Física Computacional","Simulação Computacional de Primeiros Princípios","Obrigatória","Básica","Não","COHEN, M. L., LOUIE, S. G., Fundamentals of Condensed Matter Physics, 1. Ed. Cambridge University Press, 2016.","","","","","0","G., Fundamentals of Condensed Matter Physics, 1"
"Física Computacional","Simulação Computacional de Primeiros Princípios","Obrigatória","Básica","Não","LAZARO, S. R., RIBEIRO, R. A. P., LACERDA, L. H. S, Teoria do Funcional da Densidade e Propriedades dos Materiais, 1. Ed. CRV, 2020.","","","","","0","S, Teoria do Funcional da Densidade e Propriedades dos Materiais, 1"
"Física Computacional","Simulação Computacional de Primeiros Princípios","Obrigatória","Básica","Não","VIANNA, J. D. M., CANUTO, S., FAZZIO, A., Teoria quântica de moléculas e sólidos: simulação computacional, Editora Livraria da Física, 1. Ed. 2023.","","","","","0","M., CANUTO, S., FAZZIO, A., Teoria quântica de moléculas e sólidos: simulação computacional, Editora Livraria da Física, 1"
