Curso,Disciplina,Natureza,Tipo de Bibliografia,Correspondência,Livro no PPC,Livro no campus,Autor,Edição,Volume,Exemplares,Título comparado,valor_livro_novo,site_preco,observacao
Física Computacional,Introdução à Prática Profissional,Obrigatória,Básica,Não,Bibliografia definida pelos palestrantes,,,,,0,Bibliografia definida pelos palestrantes,Não se aplica,,Referência não especifica um livro físico.
Física Computacional,"Interações Culturais, Ambientais e Humanísticas",Obrigatória,Básica,Não,"CHAUI, Marilena de Souza. Cidadania cultural: o direito à cultura. São Paulo: Fundação Perseu Abramo, 2015.",,,,,0,"CHAUI, Marilena de Souza","R$ 90,00",https://www.estantevirtual.com.br/busca/cidadania-cultural-o-direito-%C3%A0-cultura,Preço de exemplar físico novo encontrado na Estante Virtual.
Física Computacional,"Interações Culturais, Ambientais e Humanísticas",Obrigatória,Básica,Não,"CANDAU, Vera Maria; ANDRADE, Marcelo; SACAVINO, Susana et ali. Educação em direitos humanos e formação de professores/as; São Paulo: Cortez, 2013.",,,,,0,"Educação em direitos humanos e formação de professores/as; São Paulo: Cortez, 2013","R$ 97,90",https://www.estantevirtual.com.br/livro/educacao-em-direitos-humanos-e-formacao-de-professoresas-442-0063-000-BK,Preço de exemplar físico novo encontrado na Estante Virtual.
Física Computacional,"Interações Culturais, Ambientais e Humanísticas",Obrigatória,Básica,Não,"JACOBI, P. et al. (orgs.). Educação, meio ambiente e cidadania: reflexões e experiências. São Paulo: SMA, 1998.",,,,,0,"JACOBI, P. et al. (orgs.). Educação, meio ambiente e cidadania: reflexões e experiências. São Paulo: SMA, 1998.",Não encontrado,https://www.estantevirtual.com.br/busca/educa%C3%A7%C3%A3o-meio-ambiente-e-cidadania---reflex%C3%B5es-e-experi%C3%AAncias,"Na consulta atual, encontrei apenas exemplares usados; não localizei oferta de livro físico novo."
Física Computacional,Práticas de Empreendedorismo,Obrigatória,Básica,Não,"BESSANT, J.; TIDD, J.. Inovação e Empreendedorismo. Porto Alegre: Bookman, 2019",,,,,0,Inovação e Empreendedorismo,"R$ 163,20",https://www.zoom.com.br/livros/inovacao-e-empreendedorismo-bessant-john-9788577804818,Menor preço de exemplar físico novo exibido pelo Zoom no momento da consulta.
Física Computacional,Práticas de Empreendedorismo,Obrigatória,Básica,Não,"BIAZZOTTO, C. E. N. Plano de negócios para empreendimentos inovadores. São Paulo: Atlas, 2008.",,,,,0,Plano de negócios para empreendimentos inovadores,"R$ 13,20",https://www.estantevirtual.com.br/livro/plano-de-negocios-para-empreendimentos-inovadores-0GI-9242-000-BK,Preço de exemplar físico novo encontrado na Estante Virtual.
Física Computacional,Práticas de Empreendedorismo,Obrigatória,Básica,Não,"DORNELAS, J., BIM, A., FREITAS, G.; USHIKUBO, R. Plano de negócios com modelo CANVAS: guia prático de avaliação de ideias de negócios a partir de exemplos. Rio de Janeiro: LTC, 2015.",,,,,0,Plano de negócios com modelo CANVAS: guia prático de avaliação de ideias de negócios a partir de exemplos,Não encontrado,https://www.estantevirtual.com.br/livro/plano-de-negocios-com-o-modelo-canvasguia-pratico-de-avalde-ideias-de-negocio-a-partir-de-exemplos-0UW-1907-000-BK,"Na consulta atual, encontrei apenas exemplares usados; não localizei oferta de livro físico novo."
Física Computacional,Inferência Bayesiana,Obrigatória,Básica,Não,"COLES, S. Introdução à Inferência Bayesiana. (tradução e adaptação de Ribeiro Jr, P.J.), Notas de aula. Acesso em 25/05/2024 http://www.leg.ufpr.br/~paulojus/CE227/InferenciaBayesiana.pdf",,,,,0,Introdução à Inferência Bayesiana,Não encontrado,http://www.leg.ufpr.br/~paulojus/CE227/InferenciaBayesiana.pdf,A referência aponta para notas de aula em PDF; não localizei livro físico novo correspondente.
Física Computacional,Inferência Bayesiana,Obrigatória,Básica,Não,"KINAS, P.G; ANDRADE, H.A. Introdução à análise bayesiana (com R). Canoas: Consultor Editorial, 2020.",,,,,0,Introdução à análise bayesiana (com R),"R$ 75,00",https://www.editoraconsultoreditorial.com/introducao-a-analise-bayesiana-com-r,Preço do livro físico novo no site da editora.
Física Computacional,Inferência Bayesiana,Obrigatória,Básica,Não,"PAULINO, C. D.; AMARAL, M. A.; MURTEIRA, B. Estatistica Bayesiana. Lisboa: Fundação Calouste Gulbenkian, 2003.",,,,,0,Estatistica Bayesiana,"R$ 245,00",https://livraria.mercadoeditorial.org/categoria/MAT/029010/produto/9789723116069/estatistica-bayesiana,Preço encontrado para exemplar físico novo disponível no mercado editorial; edição pode diferir da de 2003.
