Disciplina,Dia,Início,Fim,Sala,Docente,Curso,Semestre
JAN009A - Estatística I,Quarta,07:30,09:30,C101,GUSTAVO,AG,2
JAN022A - METODOLOGIA CIENTÍFICA E TECNOLÓGICA,Quarta,09:30,11:30,C106,MAYTE,AG,2
JAN006A - Cálculo II,Quinta,07:30,09:30,C101,LETICIA,AG,2
JAG058A - Fundamentos em Extensão,Quinta,09:30,11:30,C102,GUSTAVO,AG,2
JAN007A - FÍSICA I,Segunda,09:30,11:30,C109,DOUGLAS,AG,2
JAG052A - Desenho assistido por computador,Segunda,13:30,15:30,A102,LUCAS,AG,2
JAG052A - Desenho assistido por computador,Segunda,15:30,16:30,A102,LUCAS,AG,2
JAG002A - Agrometereologia,Sexta,07:30,09:30,B204,MAYCON,AG,2
JAN007A - FÍSICA I,Sexta,09:30,11:30,C109,DOUGLAS,AG,2
JAN006A - Cálculo II,Terça,07:30,09:30,C101,LETICIA,AG,2
JAG016A - Fisiologia Vegetal,Terça,09:30,11:30,C108,RENATA,AG,2
JAG028A - Agricultura Geral,Quarta,07:30,09:30,C104,RENATA,AG,4
JAG028A - Agricultura Geral,Quarta,09:30,10:30,C104,RENATA,AG,4
JAN017A - Física III,Quarta,15:30,17:30,,,AG,4
JAG032A - Pedologia,Quinta,07:30,09:30,B201,OSVALDO,AG,4
JAG032A - Pedologia,Quinta,09:30,10:30,B201,OSVALDO,AG,4
JAG033A - Mecânica Geral,Quinta,13:30,15:30,C104,JUSTI,AG,4
JAG033A - Mecânica Geral,Quinta,15:30,16:30,C104,JUSTI,AG,4
JAG026A - Topografia II (turma A),Segunda,08:30,09:30,C105,CARLOS_HEN,AG,4
JAG026A - Topografia II (turma A),Segunda,09:30,11:30,C105,CARLOS_HEN,AG,4
JAG005A - Tratores e motores,Segunda,13:30,15:30,B105,MARCELO_J,AG,4
JAG005A - Tratores e motores,Segunda,15:30,16:30,B105,MARCELO_J,AG,4
JAG032A - Pedologia,Sexta,07:30,09:30,B201,OSVALDO,AG,4
JAN018A - Fenômenos de Transporte,Sexta,09:30,11:30,,,AG,4
JAN020A - TECNOLOGIA DA DECISÃO I,Sexta,13:30,15:30,,,AG,4
JAN018A - Fenômenos de Transporte,Terça,09:30,11:30,,,AG,4
JAN020A - TECNOLOGIA DA DECISÃO I,Terça,13:30,15:30,,,AG,4
JAN017A - Física III,Terça,15:30,17:30,,,AG,4
JAG019A - Fundamentos de irrigação e Drenagem,Quarta,09:30,12:30,B204,MAYCON,AG,6
JAG008A - Geoprocessamento,Quinta,09:30,12:30,C105,CARLOS_HEN,AG,6
JAG031A - Projetos de Sistemas de Secagem e Aeração,Quinta,13:30,17:30,C119,LUCAS,AG,6
JAG047A - Projeto Integrado I (Armazenamento),Segunda,08:30,11:30,C119,LUCAS,AG,6
JAG004A - Instalações elétricas,Sexta,07:30,09:30,B203,MARCELO_F,AG,6
JAG040A - Saneamento Rural,Sexta,09:30,11:30,B204,MAYCON,AG,6
JAG015A - Resistência dos Materiais,Sexta,13:30,16:30,C104,JUSTI,AG,6
JAG004A - Instalações elétricas,Terça,07:30,09:30,B203,MARCELO_F,AG,6
JAG039A - Fundamentos de Fertilidade do Solo,Terça,09:30,12:30,B201,GUSTAVO,AG,6
JAG036A - Projeto de Instalações Zootécnicas,Terça,13:30,15:30,C104,FABIO,AG,6
JAG018A - Agricultura de Precisão,Quarta,08:30,09:30,C105,CARLOS_HEN,AG,8
JAG018A - Agricultura de Precisão,Quarta,09:30,11:30,C105,CARLOS_HEN,AG,8
JAG056A - Projeto Integrado III (Máquinas),Quarta,13:30,15:30,B105,MARCELO_J,AG,8
JAG056A - Projeto Integrado III (Máquinas),Quarta,15:30,18:30,B105,MARCELO_J,AG,8
JAG055A - Tecnologia Pós-Colheita,Quinta,07:30,09:30,C119,LUCAS,AG,8
JAG038A - Controle e Automação Agrícola,Quinta,09:30,11:30,B203,MARCELO_F,AG,8
